modules/quantity,modules/capacity_gb,metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/series,metadata/variant,speed,ram_type,form_factor,capacity,color/0,color/1,cas_latency,voltage,ecc,registered,heat_spreader,rgb,timings,metadata/last_manually_spec_verified_at,height,metadata/part_numbers/1,metadata/part_numbers/2,metadata/releaseYear,metadata/part_numbers/3,metadata/part_number,profile_support/0,profile_support/1
1,32,VisionTek 901513 DDR5-4800 CL40 32GB (1x32GB),VisionTek,901513,901513,4800 CL40,4800,DDR5,288-pin DIMM,32,,,40,,Non-ECC,Unbuffered,FALSE,FALSE,40-39-39-78,,,,,,,,,
8,32,G.Skill Ripjaws V Black DDR4-2666 CL18 256GB (8x32GB),G.SKILL,F4-2666C18Q2-256GVK,Ripjaws,2666 CL18,2666,DDR4,288-pin DIMM,256,BLACK,,18,,Non-ECC,Unbuffered,TRUE,FALSE,18-18-18-43,,,,,,,,,
2,8,Patriot Viper 3 Black / Silver DDR3-1866 CL10 16GB (2x8GB),Patriot,PV316G186C0K,Viper,1866 CL10,1866,DDR3,240-pin DIMM,16,BLACK,GREY,10,,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
2,16,Silicon Power DDR5 32GB (2x16GB) Zenith RGB 6800MHz CL34 White,Silicon Power,SP032GXLWU68AFDH,XPOWER Zenith RGB,6800 CL34,6800,DDR5,288-pin DIMM,32,WHITE,,34,1.4,Non-ECC,Unbuffered,TRUE,TRUE,34-45-45-108,2025-11-11T09:49:19.063Z,38.5,,,,,,,
2,48,TEAMGROUP T-Force Delta RGB Black DDR5-6400 CL32 96GB (2x48GB),TEAMGROUP,FF3D596G6400HC32ADC01,T-Force,6400 CL32,6400,DDR5,288-pin DIMM,96,BLACK,,32,,Non-ECC,Unbuffered,TRUE,TRUE,32-39-39-84,,,,,,,,,
2,4,HyperX Kingston Technology FURY 2666MHz DDR4 8GB DIMM Memory Black,HyperX,HX426C15FBK2/8,Fury,Black,2666,DDR4,288-pin DIMM,8,BLACK,,15,1.2,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
1,16,Crucial CT16G56C46S5 Black SODIMM DDR5-5600 CL46 16GB (1x16GB),Crucial,CT16G56C46S5,CT16G56C46S5,5600 CL46,5600,DDR5,262-pin SO-DIMM,16,BLACK,,46,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
2,24,TEAMGROUP T-Force Delta RGB Black DDR5-7200 CL34 48GB (2x24GB),TEAMGROUP,FF3D548G7200HC34ADC01,T-Force,7200 CL34,7200,DDR5,288-pin DIMM,48,BLACK,,34,,Non-ECC,Unbuffered,TRUE,TRUE,34-42-42-84,,,,,,,,,
2,8,Apacer ZADAK Twist Black / Silver DDR4-3000 CL16 16GB (2x8GB),Apacer,ZD4-TWS30C08-16GYB2,ZADAK,3000 CL16,3000,DDR4,288-pin DIMM,16,BLACK,GREY,16,,Non-ECC,Unbuffered,TRUE,FALSE,16-18-18-38,,,,,,,,,
1,32,Kingston FURY Renegade Pro Registered Black DDR5-4800 CL36 32GB (1x32GB),Kingston,KF548R36RB-32,FURY,4800 CL36,4800,DDR5,288-pin DIMM,32,BLACK,,36,,Non-ECC,Unbuffered,FALSE,FALSE,,,,,,,,,,
2,32,G.Skill Trident Z5 Neo RGB DDR5-6000 CL26 64GB (2x32GB),G.SKILL,6000J2636H32GX2-TZ5NR,Trident,6000 CL26,6000,DDR5,288-pin DIMM,64,BLACK,,26,,Non-ECC,Unbuffered,TRUE,FALSE,26-36-36-96,,,,,,,,,
2,16,G.Skill Trident Z5 Black / Silver DDR5-6000 CL40 32GB (2x16GB),G.SKILL,F5-6000U4040E16GX2-TZ5K,Trident,6000 CL40,6000,DDR5,288-pin DIMM,32,BLACK,GREY,40,,Non-ECC,Unbuffered,TRUE,FALSE,40-40-40-76,,,,,,,,,
2,16,Corsair Vengeance RGB Black DDR5-6000 CL36 32GB (2x16GB),Corsair,CMH32GX5M2E6000C36,Vengeance,6000 CL36,6000,DDR5,288-pin DIMM,32,BLACK,,36,,Non-ECC,Unbuffered,TRUE,TRUE,36-44-44-96,,,,,,,,,
1,16,Patriot Viper Elite II Red / Black DDR4-4000 CL20 16GB (1x16GB),Patriot,PVE2416G400C0,Viper,4000 CL20,4000,DDR4,288-pin DIMM,16,RED,BLACK,20,,Non-ECC,Unbuffered,TRUE,FALSE,20-26-26-46,,,0814914028704,,,,,,
2,8,PNY Anarchy Black / Red DDR3-2133 CL10 16GB (2x8GB),PNY,MD16GK2D3213310AR,Anarchy,2133 CL10,2133,DDR3,240-pin DIMM,16,BLACK,RED,10,,Non-ECC,Unbuffered,TRUE,FALSE,,,,,,,,,,
2,8,G.Skill Trident Z Neo Black / Silver DDR4-3600 CL14 16GB (2x8GB),G.SKILL,F4-3600C14D-16GTZN,Trident,3600 CL14,3600,DDR4,288-pin DIMM,16,BLACK,GREY,14,,Non-ECC,Unbuffered,TRUE,FALSE,14-15-15-35,,,,,,,,,
2,16,TEAMGROUP Elite Plus Black DDR5-5200 CL42 32GB (2x16GB),TEAMGROUP,TPBD532G5200HC42DC01,Elite,5200 CL42,5200,DDR5,288-pin DIMM,32,BLACK,,42,,Non-ECC,Unbuffered,TRUE,FALSE,42-42-42-84,,,TPSD516G5200HC4201,,,,,,
2,16,Patriot Viper Xtreme 5 RGB Black DDR5-7600 CL36 32GB (2x16GB),Patriot,PVXR532G76C36K,Viper,7600 CL36,7600,DDR5,288-pin DIMM,32,BLACK,,36,,Non-ECC,Unbuffered,TRUE,TRUE,36-48-48-84,,,,,,,,,
2,24,TEAMGROUP T-Create Expert Black DDR5-7200 CL34 48GB (2x24GB),TEAMGROUP,CTCED548G7200HC34ADC01,T-Create,7200 CL34,7200,DDR5,288-pin DIMM,48,BLACK,,34,,Non-ECC,Unbuffered,TRUE,FALSE,34-42-42-84,,,,,,,,,
