cores/total,cores/performance,cores/threads,clocks/performance/base,clocks/performance/boost,cache/l2,cache/l3,specifications/integratedGraphics/model,specifications/memory/maxSupport,specifications/tdp,specifications/eccSupport,specifications/includesCooler,specifications/packaging,specifications/lithography,specifications/simultaneousMultithreading,metadata/name,metadata/manufacturer,metadata/series,series,microarchitecture,coreFamily,socket,specifications/memory/types/0,metadata/part_numbers/1,clocks/efficiency/base,clocks/efficiency/boost,specifications/memory/types/1,cores/efficiency,cache/l1,specifications/integratedGraphics/baseClock,specifications/integratedGraphics/boostClock,specifications/integratedGraphics/shaderCount,specifications/memory/channels,metadata/releaseYear,general_product_information/bestbuy_sku,metadata/part_numbers/2,metadata/variant,metadata/last_manually_spec_verified_at,metadata/vendor,metadata/part_numbers/3,metadata/part_numbers/4
10,10,20,2.6,3.3,5,25,None,0,105,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2660 V3 2.6 GHz 10-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
6,6,12,2.4,4,5,12,Intel UHD Graphics 630,128,35,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i7 8700T 2.4 GHz 6-Core LGA1151 OEM/Tray,Intel,Intel Core i7,Intel Core i7,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
8,0,16,3.6,4.5,1,11,None,128,140,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i7-7820X,,,Intel Core i7,Skylake-X,,LGA 2066,DDR4,,,,,0,64 KB (per core),0,0,0,4,2017,,,,,,,
2,0,4,3.4,0,1,4,AMD Radeon Vega 3,64,35,TRUE,FALSE,Boxed,14 nm,TRUE,Athlon 220GE,AMD,,200,Zen,23,AM4,DDR4,,0,0,,0,"L1I$ 128 KiB, L1D$ 64 KiB",0,1,192,2,2018,,,,,AMD,,
8,8,16,3.9,4.5,4,32,None,128,105,FALSE,FALSE,OEM/Tray,7 nm,TRUE,AMD Ryzen 7 3800X 3.9 GHz 8-Core AM4 OEM/Tray,AMD,AMD Ryzen 7,AMD Ryzen 7,Zen 2,Matisse,AM4,DDR4,,,,,,,,,,,,,,,,,,
8,8,8,3.6,4.9,2,12,Intel UHD Graphics 630,128,95,FALSE,FALSE,OEM/Tray,14 nm,FALSE,Intel Core i7 9700K 3.6 GHz 8-Core LGA1151 OEM/Tray,Intel,Intel Core i7,Intel Core i7,Coffee Lake Refresh,Coffee Lake Refresh,LGA 1151,,,,,,,,,,,,,,,,,,,
8,8,8,2.8,3.3,8,16,None,0,115,FALSE,FALSE,Boxed,32 nm,FALSE,AMD Opteron 6320 2.8 GHz 8-Core G34,AMD,AMD Opteron,AMD Opteron,Piledriver,Abu Dhabi,G34,,,,,,,,,,,,,,,,,,,
8,8,8,4.4,4.7,8,8,None,0,220,FALSE,TRUE,Boxed,32 nm,FALSE,AMD FX 9370 4.4 GHz 8-Core AM3+,AMD,AMD FX,AMD FX,Piledriver,Vishera,AM3+,,,,,,,,,,,,,,,,,,,
6,6,6,2.8,4,5,9,Intel UHD Graphics 630,128,65,FALSE,TRUE,Boxed,14 nm,FALSE,Intel Core i5 8400 2.8 GHz 6-Core LGA1151,Intel,Intel Core i5,Intel Core i5,Coffee Lake,Coffee Lake,LGA 1151,,,,,,,,,,,,,,,,,,,
4,4,4,4,4.2,4,0,None,0,95,FALSE,FALSE,OEM/Tray,28 nm,FALSE,AMD Athlon X4 880K 4 GHz 4-Core FM2+ OEM/Tray,AMD,AMD Athlon X4,AMD Athlon X4,Steamroller,Godavari,FM2+,,,,,,,,,,,,,,,,,,,
6,6,12,3.5,4,6,25,None,128,140,FALSE,FALSE,OEM/Tray,14 nm,TRUE,Intel Core i7 7800X 3.5 GHz 6-Core LGA2066 OEM/Tray,Intel,Intel Core i7,Intel Core i7,Skylake,Skylake-X,LGA 2066,,,,,,,,,,,,,,,,,,,
18,18,36,2.3,3.6,5,45,None,0,145,TRUE,FALSE,OEM/Tray,22 nm,TRUE,Intel Xeon E5 2699 V3 2.3 GHz 18-Core LGA2011-3 OEM/Tray,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,SR1XD,,,,,,,,,,,,SR1XD,,,,,
6,6,12,3.6,4.1,3,8,None,128,65,FALSE,TRUE,Boxed,7 nm,TRUE,AMD Ryzen 5 4500 3.6 GHz 6-Core AM4,AMD,AMD Ryzen 5,AMD Ryzen 5,Zen 2,Renoir-X,AM4,DDR4,AMD Ryzen 5 4500,,,,,,,,,,,6510771,,,,,,
8,8,16,2.4,3.2,2,20,None,0,85,TRUE,FALSE,Boxed,22 nm,TRUE,Intel Xeon E5 2630 V3 2.4 GHz 8-Core LGA2011-3,Intel,Intel Xeon E5,Intel Xeon E5,Haswell,Haswell-EP,LGA 2011-3,,,,,,,,,,,,,,,,,,,
