metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/series,metadata/variant,capacity,form_factor,interface,nvme,storage_type,type,cache,metadata/releaseYear,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,metadata/part_numbers/5
Samsung 990 EVO Plus 4TB SSD M.2-2280 PCIe 5.0 X2 NVMe,Samsung,MZ-V9S4T0BW                                                    MZ-V9S4T0B,AM,990,4000GB,4000,M.2-2280,M.2 PCIe 5.0 x2,TRUE,SSD,SSD,,,MZ-V9S4T0B/AM,,,
"Seagate BarraCuda 2TB 3.5"" HDD 7200RPM SATA",Seagate,ST2000DM006,,BarraCuda,2000GB,2000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
Apacer AS2280Q4U 2TB M.2-2280 SSD PCIe 4.0 X4 NVMe,Apacer,AP2TBAS2280Q4U-1,,AS2280Q4U,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Samsung SM961 1TB SSD M.2-2280 PCIe 3.0 x4 NVMe,Samsung,MZVKW1T0HMLH-00000,,SM961,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
Biwin Black Opal X570 Pro 2TB SSD M.2-2280 PCIe 5.0 X4 NVMe,Biwin,X570PRO-2TB,,Black,2000GB,2000,M.2-2280,M.2 PCIe 5.0 x4,TRUE,SSD,SSD,2048,,,,,
"Seagate FireCuda 500GB Hybrid 2.5"" 5400RPM SATA",Seagate,ST500LX025,2754009,FireCuda,500GB,500,"2.5""",SATA 6.0 Gb/s,FALSE,SSHD,SSHD,,,,,,
Acer Predator GM7 512GB M.2 SSD PCIe 4.0 NVMe,Acer,BL.9BWWR.117,,Predator,512GB,512,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
Samsung 990 Pro w/Heatsink 2TB SSD M.2-2280 PCIe 4.0 NVMe,Samsung,MZ-V9P2T0CW                                                    MZ-V9P2T0GW,MZ-V9P2T0CW,990,2000GB,2000,M.2-2280,M.2 PCIe 4.0 x4,TRUE,SSD,SSD,,,,,,
"Western Digital Gold 10TB HDD 3.5"" 7200RPM SATA",Western Digital,WD102KRYZ,WD102KRYZ-SPA5AB0,Gold,10000GB,10000,"3.5""",SATA 6.0 Gb/s,FALSE,HDD,HDD,,,,,,
KIOXIA EXCERIA PLUS G2 1TB SSD M.2-2280 PCIe 3.0 X4 NVMe,KIOXIA,LRD20Z001TG8,,EXCERIA,1000GB,1000,M.2-2280,M.2 PCIe 3.0 x4,TRUE,SSD,SSD,,,,,,
