metadata/name,metadata/manufacturer,metadata/part_numbers/0,metadata/part_numbers/1,metadata/part_numbers/2,metadata/part_numbers/3,metadata/part_numbers/4,general_product_information/hyte_sku,metadata/part_numbers/5,metadata/part_numbers/6,metadata/part_numbers/7,metadata/part_numbers/8,metadata/series,metadata/variant,metadata/releaseYear,metadata/last_manually_spec_verified_at,connection_types/0,connection_types/1,ear_pad_material/0,features/0,platforms/0,platforms/1,platforms/2,use_cases/0,use_cases/1,driver_size,frequency_response_low,frequency_response_high,headphone_type,ear_cup_type,weight,has_microphone,microphone_type,frame_material
Razer Kraken Gaming Headset,Razer,RZ04-01200100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose 625946-0010 In-Ear Closed-Back Wired Headphones with Microphone Blue / White,Bose,FreeStyle EB Blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP HyperX Cloud III Closed-Back Gaming Headset,HyperX,727A8AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HS33G Earbud,Panasonic,RP-HS33G,RPHS33G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy Uprock Closed-Back Non-Mic'd Headphones,Skullcandy,SGURFZ-087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S2FXDM-161 Closed In-Ear Headset with Microphone,Skullcandy,S2FXDM-161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken V3 HyperSense 7.1 Channel Wired Gaming Headset,Razer,RZ04-03770100-R3U1                                                    RZ04-03770100-R3M1,RZ04-03770100-R3U1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A50 + Base Station PS4 7.1 Channel Closed Gaming Headset,Astro,3AS52-AGW9N-510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Porta Pro Communication Open-Back Headphones,Koss,196825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thermaltake SHOCK Gaming Headset,Thermaltake,HT-SHK002ECBU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skullcandy S6HSGY-378 Headphones White / Black,Skullcandy,S6HSGY-378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Ktxpro1 Closed-Back Wired Headphones,Koss,IVG-KSSKTXPRO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audiovox ARW300 Wireless Closed-Back Headphones,Audiovox,ARW300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips SHL5200WT/28 Closed Headphones,Philips,SHL5200WT,28,SHL5200WT/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Astro A50 + Base Station Closed Gaming Headset,ASTRO Gaming,939-001680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kaira Pro for Xbox- Halo Infinite Headset,Razer,RZ04-03470200-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Porta Pro Limited Edition Open-Back Wired Headphones,Koss,193053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bose QC35 Closed-Back Headphones,Bose,759944-0010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-COR150PK Closed In-Ear Headphones,Audio-Technica,ATH-COR150PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKG K512 MKII Closed-Back Wired Headphones,AKG,K512 MKII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempest Caesar RGB Closed-Back Headphones,Tempest,TP-GHS-WCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panasonic RP-HV41A In-Ear Closed Headphones,Panasonic,RP-HV41A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-IM01 Closed-Back In-Ear Headphones,Audio-Technica,ATH-IM01,ATHIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corsair HS65 7.1 Channel Closed-Back Gaming Headset,Corsair,CA-9011285-NA                                                    CA-9011285-EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plantronics GameCom 780 7.1 Channel Closed Gaming Headset,Plantronics,PLGAMECOM780                                                    PLTGC780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kensington 33084 Closed-Back Black/Blue Headphones,Kensington,33084,K33084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyle Audio PIEH40T Closed-Back Black / White Headphones,Pyle Audio,068888904810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiFiMAN Edition X V2 Open-Back Headphones,HIFIMAN,Edition X V2                                                    HE-02,4330604781,EP-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harman Kardon JBL RXONSUN Closed-Back Multicolor Headphones,Harman Kardon,JBLRXONSUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gigabyte GP-H11 In-Ear Closed Headphones,Gigabyte,GP-H11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hercules 4780507 Closed-Back Headphones,Hercules,HDP DJ-M40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer A Bathing Ape Opus Closed Headphones,Razer,RZ04-02490111-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio-Technica ATH-AD500X Open-Back Headphones,Audio-Technica,ATH-AD500X,AUD ATHAD500X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philips 609585114050 Closed-Back White Earbuds,Philips,6.09585E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klipsch KG-300 Closed-Back Headphones Black,Klipsch,KG-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyber Acoustics ACM-70B Closed-Back Headset,Cyber Acoustics,ACM-70B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Periodic Audio Beryllium Closed In-Ear Headphones,Periodic Audio,Be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCCAT Kave 5.1 Channel Closed Gaming Headset,ROCCAT,ROC-14-500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asus TUF Gaming H1 Wireless 7.1 Channel ,Asus,90YH0391-B3UA00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Razer Kraken (2019) 7.1 Channel Closed Gaming Headset,Razer,RZ04-02830300-R3M1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coby CV135SVR Closed-Back Headphones,Coby,CV135SVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antec 761345740043 In-Ear Closed Headphones,Antec,7.61346E+11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koss Clipper Closed-Back Wired Headphones Green,Koss,CLIPPER GREEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syba COBRA Closed-Back Headphones,Syba,OG-AUD63041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMDIAS EROS Closed-Back Black / Red Gaming Headset,GAMDIAS,GHS2200 3.5mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adesso Xtream H3W Wireless Gaming Headset,Adesso,Xtream H3W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PX685I In-Ear Headphones,Sennheiser,PX685I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser PC121 Closed Black / Silver Headphones,Sennheiser,PC121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SteelSeries 51006 Closed Headphones,SteelSeries,51006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klipsch R6m Closed In-Ear Headphones with Microphone,Klipsch,R6m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sennheiser CX 215 In-Ear Headphones,Sennheiser,CX 215 Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sony MDR-110LP Closed-Back Headphones,Sony,MDR-110LP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
